# 	   	 Pokémon 	Exp. 	HP 	Attack 	Defense 	Sp. Attack 	Sp. Defense 	Speed 	Total EVs 
001 	 	Bulbasaur 	 64 	 0 	 0 	 0 	 1 	 0 	 0 	 1 
002 	 	Ivysaur 	 142 	 0 	 0 	 0 	 1 	 1 	 0 	 2 
003 	 	Venusaur 	 236 	 0 	 0 	 0 	 2 	 1 	 0 	 3 
004 	 	Charmander 	 62 	 0 	 0 	 0 	 0 	 0 	 1 	 1 
005 	 	Charmeleon 	 142 	 0 	 0 	 0 	 1 	 0 	 1 	 2 
006 	 	Charizard 	 240 	 0 	 0 	 0 	 3 	 0 	 0 	 3 
007 	 	Squirtle 	 63 	 0 	 0 	 1 	 0 	 0 	 0 	 1 
008 	 	Wartortle 	 142 	 0 	 0 	 1 	 0 	 1 	 0 	 2 
009 	 	Blastoise 	 239 	 0 	 0 	 0 	 0 	 3 	 0 	 3 
010 	 	Caterpie 	 39 	 1 	 0 	 0 	 0 	 0 	 0 	 1 
011 	 	Metapod 	 72 	 0 	 0 	 2 	 0 	 0 	 0 	 2 
012 	 	Butterfree 	 173 	 0 	 0 	 0 	 2 	 1 	 0 	 3 
013 	 	Weedle 	 39 	 0 	 0 	 0 	 0 	 0 	 1 	 1 
014 	 	Kakuna 	 72 	 0 	 0 	 2 	 0 	 0 	 0 	 2 
015 	 	Beedrill 	 173 	 0 	 2 	 0 	 0 	 1 	 0 	 3 
016 	 	Pidgey 	 50 	 0 	 0 	 0 	 0 	 0 	 1 	 1 
017 	 	Pidgeotto 	 113 	 0 	 0 	 0 	 0 	 0 	 2 	 2 
018 	 	Pidgeot 	 172 	 0 	 0 	 0 	 0 	 0 	 3 	 3 
019 	 	Rattata 	 57 	 0 	 0 	 0 	 0 	 0 	 1 	 1 
020 	 	Raticate 	 116 	 0 	 0 	 0 	 0 	 0 	 2 	 2 
021 	 	Spearow 	 58 	 0 	 0 	 0 	 0 	 0 	 1 	 1 
022 	 	Fearow 	 162 	 0 	 0 	 0 	 0 	 0 	 2 	 2 
